dates,Region,tsel,xl,isat,three,smartfren,xl+,ioh,level
06/29/2025,Area 1,56.09,25.22,12.42,10.11,3.52,28.45,22.18,Area
06/29/2025,Area 2,31.73,27.67,26.47,14.58,6.6,33.91,40.35,Area
06/29/2025,Area 3,36.96,24.53,24.76,9.86,9.09,33.25,34.18,Area
06/29/2025,Area 4,62.38,14.65,17.14,8.22,3.41,17.86,25.01,Area
06/29/2025,Sumbagut,60.09,27.49,7.96,9.53,3.19,30.29,17.19,Region
06/29/2025,Sumbagteng,65.19,21.64,6.63,9.86,2.55,24.03,16.26,Region
06/29/2025,Sumbagsel,46.92,25.49,19.97,10.75,4.39,29.61,30.27,Region
06/29/2025,Western Jabotabek,28.59,29.67,25.76,14.81,7.75,37.03,39.86,Region
06/29/2025,Central Jabotabek,38.91,20.6,27.79,12.84,6.9,27.14,39.83,Region
06/29/2025,Eastern Jabotabek,25.79,23.02,35.59,16.1,6.43,29.19,50.78,Region
06/29/2025,Jabar,35.33,33.49,18.65,13.97,5.89,38.96,32.16,Region
06/29/2025,Jateng,30.19,22.1,25.94,12.87,15.27,36.79,38.27,Region
06/29/2025,Jatim,35.37,23.09,31.56,9.09,5.72,28.59,40.2,Region
06/29/2025,BaliNusra,53.76,32.23,9.5,5.18,2.83,34.86,14.59,Region
06/29/2025,Kalimantan,54.66,16.71,23.77,9.52,1.36,17.98,32.84,Region
06/29/2025,Sulawesi,59.74,16.57,15.75,9.05,5.7,21.92,24.43,Region
06/29/2025,Puma,95.44,0.85,3.41,1.2,0.14,1,4.59,Region
06/29/2025,Java,34.43,26.05,25.59,12.15,7.87,33.57,37.19,Area Group
06/29/2025,Non Java,58.75,20.66,14.51,9.3,3.48,23.88,23.46,Area Group
06/29/2025,National,44.73,23.73,20.87,10.92,6.01,29.42,31.33,Nationwide
06/29/2025,Basic,53.37,24.05,15.26,10.37,4.18,27.94,25.26,Archetype
06/29/2025,Compete,32.13,26.8,26.72,12.62,8.1,34.52,38.75,Archetype
06/29/2025,Fortress,80.68,9.43,8.63,4.87,0.73,10.14,13.35,Archetype
06/29/2025,Super Fortress,95.08,1.28,3.1,1.66,0.18,1.46,4.74,Archetype
06/29/2025,Compete AREA 2,31.73,27.67,26.47,14.58,6.6,33.91,40.35,Archetype Area
06/29/2025,Compete AREA 3,31.92,25.4,27.29,10.63,10.25,35.23,37.45,Archetype Area
06/29/2025,Basic AREA 1,56.28,26.38,10.8,10.64,3.67,29.72,21.12,Archetype Area
06/29/2025,Basic AREA 2,35.25,24.64,24.95,15.13,7.38,31.64,39.32,Archetype Area
06/29/2025,Basic AREA 3,52.04,28.18,14.24,5.7,3.9,31.83,19.74,Archetype Area
06/29/2025,Basic AREA 4,49.55,19.82,21.82,11.03,5,24.52,32.37,Archetype Area
06/29/2025,Fortress AREA 1,76.38,14.44,7.3,5.98,0.99,15.37,13.1,Archetype Area
06/29/2025,Fortress AREA 3,87.93,6.35,3.79,4.81,0.24,6.54,8.49,Archetype Area
06/29/2025,Fortress AREA 4,80.44,7.57,11.43,4.19,0.74,8.26,15.47,Archetype Area
06/29/2025,Super Fortress AREA 1,93.17,3.88,1.31,4.2,0.45,4.31,5.59,Archetype Area
06/29/2025,Super Fortress AREA 4,95.41,0.85,3.43,1.23,0.14,1,4.59,Archetype Area
