CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
SIMEULUE,1101,88.31,6.68,1.96,4.34,0.59,7.34,6.36
ACEH SINGKIL,1102,57.16,4.12,38.86,4.53,0.8,4.81,42.39
ACEH SELATAN,1103,72.46,4.58,20.83,5.41,1.53,6.03,24.48
ACEH TENGGARA,1104,73.78,7.83,10.56,6.27,6.58,14.29,16.18
ACEH TIMUR,1105,76.8,11.14,1.26,13.28,0.89,12.09,14.44
ACEH TENGAH,1106,92.08,2.08,3.16,4.76,0.85,2.95,7.91
ACEH BARAT,1107,80.98,14.5,3.99,3.85,1.41,16.02,7.98
ACEH BESAR,1108,64.57,22.42,6.54,9.49,2.44,24.69,16
PIDIE,1109,65.78,19.89,3.32,14.8,1.54,21.42,17.92
BIREUEN,1110,65.85,22.5,1.32,13.41,1.26,23.63,14.64
ACEH UTARA,1111,70.25,18.53,2.3,12.06,1.21,19.58,14.14
ACEH BARAT DAYA,1112,73.79,10.59,5.05,8.86,6.67,17.14,14.42
GAYO LUES,1113,85.97,4.07,6.22,4.11,3.55,7.42,10.05
ACEH TAMIANG,1114,69.29,21.85,3.24,9.47,2,24.32,12.31
NAGAN RAYA,1115,86.31,5.24,7.99,3.6,1.04,6.25,11.46
ACEH JAYA,1116,87.36,7.41,5.04,2.74,0.51,7.97,7.49
BENER MERIAH,1117,88.69,4.51,3.98,5.34,2.06,6.47,9.44
PIDIE JAYA,1118,68.04,30.16,1.69,6.15,2.28,31.29,7.93
KOTA BANDA ACEH,1171,71.17,14.3,2.98,14.2,2.24,16.49,16.83
KOTA SABANG,1172,76.43,13.75,4.3,4.96,1.73,16.1,9.74
KOTA LANGSA,1173,67.18,17.54,1.45,16.48,1.31,19.5,18.15
KOTA LHOKSEUMAWE,1174,71.29,18.36,1.85,10.02,2.03,20.31,11.99
KOTA SUBULUSSALAM,1175,55.15,14.52,27.44,5.97,4.61,18.99,33.51
NIAS,1201,97.1,1.02,0.41,4.45,0,1.14,4.92
MANDAILING NATAL,1202,60.97,30.63,10,2.6,0.54,31.23,12.54
TAPANULI SELATAN,1203,66.65,24.8,7.22,6.23,0.84,25.7,13.17
TAPANULI TENGAH,1204,78.84,18.05,2.53,4.21,0.76,18.44,6.74
TAPANULI UTARA,1205,73.87,16.31,5.6,4.32,4.64,19.94,9.83
TOBA SAMOSIR,1206,72.62,15.37,4,3.7,8.64,23.82,7.83
