dates,Region,tsel,xl,isat,three,smartfren,xl+,ioh,level
08/30/2026,Area 1,54.4,23.61,12.56,10.14,3.79,27.25,22.53,Area
08/30/2026,Area 2,30.54,26,26.29,14.6,6.81,32.6,40.51,Area
08/30/2026,Area 3,36.18,22.14,25.06,10.08,9.76,31.68,34.9,Area
08/30/2026,Area 4,60.56,13,18.06,8.16,4.17,17.06,26.03,Area
08/30/2026,Sumbagut,58.62,25.34,7.53,10.05,3.13,28.32,17.43,Region
08/30/2026,Sumbagteng,64.12,20.71,6.66,9.27,2.97,23.59,15.84,Region
08/30/2026,Sumbagsel,44.52,23.95,20.7,10.78,4.88,28.65,31.23,Region
08/30/2026,Jakarta Banten,32.16,24.39,26.59,13.95,7.06,31.24,40.17,Region
08/30/2026,Eastern Jabotabek,25.95,21.72,33.95,15.74,6.92,28.45,49.18,Region
08/30/2026,Jabar,32.97,31.99,18.65,14.28,6.4,38.14,32.67,Region
08/30/2026,Jateng,28.98,19.9,26.16,12.9,15.82,35.43,38.76,Region
08/30/2026,Jatim,35.34,20.26,31.7,9.39,6.3,26.42,40.83,Region
08/30/2026,BaliNusra,52.54,30.19,10.53,5.58,3.67,33.72,16.02,Region
08/30/2026,Kalimantan,53.26,15.83,23.93,9.19,1.9,17.66,32.9,Region
08/30/2026,Sulawesi,57.63,14.01,16.81,9.12,6.94,20.78,25.71,Region
08/30/2026,Puma,94.28,0.48,5.18,1.25,0.12,0.59,6.41,Region
08/30/2026,Java,33.34,24.08,25.68,12.34,8.28,32.15,37.72,Area Group
08/30/2026,Non Java,57,19.03,14.99,9.29,3.96,22.86,24.09,Area Group
08/30/2026,National,43.15,21.96,21.23,11.06,6.49,28.27,32.04,Nationwide
08/30/2026,Basic,59.09,20.04,12.92,9.17,3.28,23.2,21.93,Archetype
08/30/2026,Compete,32.2,24.65,26.04,12.72,8.33,32.76,38.44,Archetype
08/30/2026,Fortress,84.49,6.68,6.99,3.41,1.1,7.75,10.35,Archetype
08/30/2026,Super Fortress,94.1,0.71,4.7,1.71,0.15,0.86,6.39,Archetype
08/30/2026,Compete AREA 2,30.54,26,26.29,14.6,6.81,32.6,40.51,Archetype Area
08/30/2026,Compete AREA 3,31.29,22.87,27.5,10.8,10.83,33.47,38.04,Archetype Area
08/30/2026,Basic AREA 1,54.56,24.69,10.96,10.73,3.78,28.32,21.53,Archetype Area
08/30/2026,Basic AREA 2,33.69,22.99,24.94,15.23,7.51,30.27,39.78,Archetype Area
08/30/2026,Basic AREA 3,49.48,26.44,15.11,6.7,5.01,31.29,21.7,Archetype Area
08/30/2026,Basic AREA 4,48.25,17.5,22.29,10.74,5.92,23.26,32.75,Archetype Area
08/30/2026,Fortress AREA 1,75.72,13.64,7.07,5.1,1.67,15.27,12.12,Archetype Area
08/30/2026,Fortress AREA 3,87.77,4.59,4.5,4.7,1.28,5.84,9.12,Archetype Area
08/30/2026,Fortress AREA 4,78.03,6.77,12.84,4.44,1.25,7.98,17.17,Archetype Area
08/30/2026,Super Fortress AREA 1,92.84,2.42,1.16,5.09,0.36,2.77,6.22,Archetype Area
08/30/2026,Super Fortress AREA 4,94.28,0.48,5.18,1.25,0.12,0.59,6.41,Archetype Area
