CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
SIMEULUE,1101,88.17,5.07,2.46,3.81,0.74,5.93,6.18
ACEH SINGKIL,1102,58.54,3.97,39.06,4.9,0.76,4.76,42.85
ACEH SELATAN,1103,71.53,4.56,21.72,5.88,2.12,6.58,26.92
ACEH TENGGARA,1104,73.08,8.27,10.16,6.24,8.01,16.16,15.89
ACEH TIMUR,1105,76.24,11.02,1.29,13.47,0.93,12,14.47
ACEH TENGAH,1106,91.33,2.44,3.19,4.53,0.9,3.31,7.75
ACEH BARAT,1107,78.97,14.2,3.69,3.55,1.83,16.51,7.27
ACEH BESAR,1108,64.64,21.29,5.89,10.01,2.62,24.23,15.9
PIDIE,1109,64.55,20.63,3.41,14.43,1.94,22.09,17.96
BIREUEN,1110,65.56,23.46,1.5,11.92,1.49,24.73,13.36
ACEH UTARA,1111,69.96,18.58,2.35,11.58,1.41,20.15,13.66
ACEH BARAT DAYA,1112,72.7,10.85,4.87,8.68,7.62,18.93,13.94
GAYO LUES,1113,86.29,3.26,6.06,3.79,3.38,6.48,9.99
ACEH TAMIANG,1114,68.98,23.04,3.4,8.32,2.27,24.91,11.56
NAGAN RAYA,1115,86.26,5.03,7.05,3.52,1.4,6.75,10.74
ACEH JAYA,1116,88,7.26,4.42,2.86,0.73,7.97,7.37
BENER MERIAH,1117,86.8,4.21,4.12,5.53,2.57,6.55,9.78
PIDIE JAYA,1118,61.86,29.99,1.87,5.61,3.11,32.68,7.26
KOTA BANDA ACEH,1171,70.6,14.15,3.34,13.77,2.23,16.3,17.19
KOTA SABANG,1172,78.34,13.16,4.27,4.77,1.98,15.18,8.85
KOTA LANGSA,1173,67.94,17.76,1.74,16,1.25,18.93,17.75
KOTA LHOKSEUMAWE,1174,70.85,17.85,1.89,10.01,2.05,20.73,11.78
KOTA SUBULUSSALAM,1175,54.4,14.12,27.2,6.05,5.34,19.36,32.41
NIAS,1201,94.71,0.86,0.42,4.31,0,1.05,4.77
MANDAILING NATAL,1202,61.34,31.81,8.26,2.39,0.54,32.39,10.56
TAPANULI SELATAN,1203,66.64,24.84,6.97,5.8,0.84,25.98,12.72
TAPANULI TENGAH,1204,78.47,18.64,2.63,4.29,0.83,19,6.77
TAPANULI UTARA,1205,73.79,15.86,5.2,4.22,4.46,20.08,10.01
TOBA SAMOSIR,1206,72.72,14.92,4,3.42,8.18,23.04,7.43
LABUHAN BATU,1207,61.05,28.16,2.67,12.65,1.21,29.02,15.48
ASAHAN,1208,59.68,29.31,4.12,7.91,2.4,31.65,11.92
SIMALUNGUN,1209,55.5,31.4,4.25,8.18,5.06,36.08,12.2
DAIRI,1210,61.26,20.22,9,8.58,5.78,25.65,17.44
KARO,1211,56.95,21.47,11.35,10.97,2.75,24.45,22.68
DELI SERDANG,1212,43.47,34.58,10.66,12.21,3.65,37.98,22.66
LANGKAT,1213,49.86,38.58,5.99,8.5,1.42,39.52,14.43
NIAS SELATAN,1214,93.09,3.72,1.42,4.26,0.39,3.98,5.46
HUMBANG HASUNDUTAN,1215,76.99,15.47,3.65,3.53,4.04,18.54,7.52
PAKPAK BHARAT,1216,62,13.09,19.69,10.68,1.2,14.29,29.41
SAMOSIR,1217,76.34,15.12,5.07,3.23,2.86,17.57,8.5
SERDANG BEDAGAI,1218,38.3,44.58,8.5,9.81,3.29,47.88,18.17
BATU BARA,1219,50.89,31.32,6.6,11.06,4.08,35.52,17.33
PADANG LAWAS UTARA,1220,70.36,24.85,4.22,3.52,1.2,25.35,7.87
PADANG LAWAS,1221,69.99,23.74,8.56,2.42,0.64,25.33,10.67
LABUHAN BATU SELATAN,1222,70.29,21.54,4.6,8.35,0.86,22.05,12.31
LABUHAN BATU UTARA,1223,62.56,32.08,4.12,6.21,1.23,32.74,10.5
NIAS UTARA,1224,91.58,2.73,1.23,5.25,0.41,3.01,6.54
NIAS BARAT,1225,97.16,2.48,1.21,6.53,0,2.12,7.5
KOTA SIBOLGA,1271,76.46,17.55,1.54,5.47,1.13,18.59,6.89
KOTA TANJUNG BALAI,1272,50.85,40.09,2.86,8.81,1.82,41.26,11.63
KOTA PEMATANG SIANTAR,1273,57.52,31.29,3.67,8.79,3.68,34.49,12.69
KOTA TEBING TINGGI,1274,44.54,39.28,10.84,7.18,3.27,42.26,18.19
KOTA MEDAN,1275,46.42,28.52,11.77,14.11,4.77,33.1,25.6
KOTA BINJAI,1276,48.97,36.19,8.66,10.14,1.86,37.57,18.97
KOTA PADANGSIDIMPUAN,1277,63.25,27.84,7.7,7.83,0.82,28.06,15.48
GUNUNGSITOLI,1278,92.97,1.34,0.84,6.8,0.3,1.63,7.65
KEPULAUAN MENTAWAI,1301,95.71,2.03,0.89,0,0,1.94,1.54
PESISIR SELATAN,1302,63.33,30.12,3.7,6.49,0.66,30.33,9.69
SOLOK,1303,75.47,13.14,5.23,8.2,1.53,14.69,13.46
SIJUNJUNG,1304,89.91,7.45,2.93,2.62,1.01,8.28,5.6
TANAH DATAR,1305,56.01,24.16,11.44,9.83,2.9,26.5,21.2
PADANG PARIAMAN,1306,55.04,27.22,5.31,13.36,3.24,30.46,18.52
AGAM,1307,48.32,30.31,6.07,15.51,4.49,34.29,21.65
LIMA PULUH KOTA,1308,58.39,26.3,6.81,10.63,1.84,28.05,17.03
PASAMAN,1309,71.52,20.34,6.18,4.71,1.48,21.09,10.91
SOLOK SELATAN,1310,86.72,7.61,4.08,2.46,1.41,8.91,6.3
DHARMASRAYA,1311,71.11,21.75,5.78,6.25,1.15,22.83,11.72
PASAMAN BARAT,1312,61.07,25.68,6.53,7.39,4.63,30.03,13.56
KOTA PADANG,1371,58.41,27.5,4.21,12.32,2.39,29.78,16.28
KOTA SOLOK,1372,51.31,41.57,3.55,6.98,1.57,42.66,10.69
KOTA SAWAH LUNTO,1373,76.38,12.97,2.57,7.23,6.5,20.06,9.83
KOTA PADANG PANJANG,1374,52.71,26.08,6.47,15.45,4.6,30.96,21.21
KOTA BUKIT TINGGI,1375,49.37,29.39,5.24,16.94,3.68,33.16,21.69
PAYAKUMBUH,1376,57.61,25.08,6.59,12.11,2.08,26.62,19.38
KOTA PARIAMAN,1377,54.92,27.99,4.05,10.89,5.82,34.68,14.35
KUANTAN SINGINGI,1401,76.94,16,4.95,3.4,1.9,17.76,8.3
INDRAGIRI HULU,1402,72.68,17.33,2.86,9.12,1.16,18.47,12.08
INDRAGIRI HILIR,1403,80.06,15.12,2.8,4.16,1.07,16.27,6.75
PELALAWAN,1404,79.68,14.98,5.19,2.13,1.17,16.34,7.2
S I A K,1405,71.96,12.31,7.21,4.01,8.78,20.96,11.24
KAMPAR,1406,65.47,21.22,8.59,5.4,3.92,24.84,14.16
ROKAN HULU,1407,76.3,18.58,3.68,3.79,0.86,19.37,7.46
BENGKALIS,1408,69.86,21.78,3.94,5.59,1.2,23.79,9.63
ROKAN HILIR,1409,72.45,14.74,3.43,11.59,1.34,16.27,15.17
KEPULAUAN MERANTI,1410,80.88,9.08,1.31,5.73,0.79,10.05,7.02
KOTA PEKANBARU,1471,59.85,19.19,7.4,13.77,4.55,23.66,21.12
KOTA DUMAI,1473,64.07,24.85,4.06,7.48,4.03,29,11.6
KERINCI,1501,79.77,6.7,10.42,4.18,1.54,8.17,14.48
MERANGIN,1502,67.61,11.08,17.44,5.47,2.42,13.64,22.52
SAROLANGUN,1503,77.27,6.6,11.09,6.14,3.07,9.57,17.19
BATANG HARI,1504,52.88,24.16,17.32,7.36,2.77,26.88,23.37
MUARO JAMBI,1505,48.02,21.17,13.91,17.71,4.02,24.88,31.35
TANJUNG JABUNG TIMUR,1506,63.58,8.81,22.84,6.85,1.64,10.47,29.18
TANJUNG JABUNG BARAT,1507,63.14,16.7,12.52,5.77,6.04,22.6,17.71
TEBO,1508,57.84,23.89,13.19,8.06,1.25,24.65,21.34
BUNGO,1509,56.99,28.41,12.85,5.26,1.4,29.53,18.27
KOTA JAMBI,1571,50.79,18.43,14.98,16.9,3.7,21.89,31.65
SUNGAI PENUH,1572,81.06,6.41,9.18,5.32,0.97,7.51,14.3
OGAN KOMERING ULU,1601,43.11,20.44,27.96,7.25,6.39,26.51,35.27
OGAN KOMERING ILIR,1602,40.47,23.97,29.67,7.06,4.44,28.76,36.32
MUARA ENIM,1603,36.77,21.12,33.62,5.88,8.56,29.69,39.15
LAHAT,1604,50.35,28.57,13.62,5.47,7.21,35.74,18.98
MUSI RAWAS,1605,53.47,25.94,18.61,6.35,1.46,27.26,24.96
MUSI BANYUASIN,1606,54.57,28.09,16.29,4.2,3.93,31.67,20.54
BANYU ASIN,1607,39.97,24.21,17.94,16.26,7.02,31.02,33.89
OGAN KOMERING ULU SELATAN,1608,51.58,9.87,37.71,4.58,1.01,10.57,42.4
OGAN KOMERING ULU TIMUR,1609,32,20.21,42.69,9.11,1.6,21.67,50.84
OGAN ILIR,1610,33.71,25.49,24.2,7.32,13.46,38.84,31.23
EMPAT LAWANG,1611,54.34,29.38,18.47,2.44,3.08,31.68,20.44
PENUKAL ABAB LEMATANG ILIR,1612,64.98,23.84,10.19,3.73,2.54,26.37,13.66
MUSI RAWAS UTARA,1613,67.45,12.17,22.28,2.9,1.14,12.89,25.83
KOTA PALEMBANG,1671,39.86,25.95,13.62,17.62,8.63,34.31,31.05
KOTA PRABUMULIH,1672,40.59,30.8,11.12,11.91,11.69,41.66,23
KOTA PAGAR ALAM,1673,50.41,22.44,17.37,10.24,2.36,25.03,27.41
KOTA LUBUKLINGGAU,1674,54.13,25.62,11.43,11.9,2.01,27.91,23.1
BENGKULU SELATAN,1701,67.47,7.45,20.5,7.52,0.65,8.38,27.3
REJANG LEBONG,1702,42.13,27.76,24.6,9.68,0.84,28.88,33.7
