CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
SIMEULUE,1101,89.4,5.33,2.34,4.08,0.75,6.06,6.41
ACEH SINGKIL,1102,57.79,4.13,37.6,4.78,0.79,4.88,42.11
ACEH SELATAN,1103,72.06,4.67,20.94,5.33,1.89,6.54,25.5
ACEH TENGGARA,1104,73.71,7.92,10.08,6.02,6.73,15,15.71
ACEH TIMUR,1105,76.44,11.4,1.25,12.67,0.91,12.36,14.14
ACEH TENGAH,1106,91.45,2.25,3.26,4.81,0.9,3.18,8.06
ACEH BARAT,1107,79.97,14.68,3.84,3.73,1.57,15.85,7.62
ACEH BESAR,1108,64.63,22.85,5.69,10.13,2.57,24.87,15.57
PIDIE,1109,64.57,20.44,3.41,14.81,1.77,22.02,17.93
BIREUEN,1110,65.95,23.46,1.65,12.2,1.34,24.52,14
ACEH UTARA,1111,69.96,18.59,2.29,11.68,1.28,19.83,14.13
ACEH BARAT DAYA,1112,72.49,11.05,5.15,8.96,6.67,17.96,14.18
GAYO LUES,1113,86.06,3.61,5.86,3.81,3.37,7.09,9.44
ACEH TAMIANG,1114,68.5,22.55,3.3,8.19,2.08,24.67,11.54
NAGAN RAYA,1115,85.23,5.19,7.37,3.3,1.17,6.47,10.52
ACEH JAYA,1116,86.15,7.3,4.75,2.93,0.6,7.88,7.41
BENER MERIAH,1117,85.16,4.22,4.14,5.36,2.27,6.78,9.42
PIDIE JAYA,1118,63.44,30.71,1.74,5.39,2.6,33.29,7.28
KOTA BANDA ACEH,1171,70.69,14.46,3.17,14.12,2.24,16.57,17.06
KOTA SABANG,1172,77.67,13.42,4.81,5.08,2.2,15.2,9.7
KOTA LANGSA,1173,66.32,17.57,1.73,16.72,1.48,18.76,18.19
KOTA LHOKSEUMAWE,1174,71.36,18.77,1.84,9.86,1.94,20.54,11.84
KOTA SUBULUSSALAM,1175,54.88,15.22,27.31,5.89,4.65,19.35,32.07
NIAS,1201,96.65,0.98,0.46,4.43,0.19,1.21,4.7
MANDAILING NATAL,1202,61.81,31.2,8.74,2.46,0.53,31.69,11.09
TAPANULI SELATAN,1203,66.96,25.04,6.92,5.83,0.8,25.42,13.07
TAPANULI TENGAH,1204,77.98,18.37,2.58,4.11,0.75,19.43,6.65
TAPANULI UTARA,1205,73.45,15.7,5.36,4.53,4.64,20.27,9.72
TOBA SAMOSIR,1206,72.5,15.45,4.03,3.67,8.48,23.43,7.64
LABUHAN BATU,1207,60.7,28.07,2.72,13.04,1.25,29.01,15.85
ASAHAN,1208,59.15,29.79,4.18,8.01,2.38,32.06,12
SIMALUNGUN,1209,55.49,31.44,4.31,8.21,4.93,36.18,12.35
DAIRI,1210,62.71,19.95,8.77,8.65,5.72,25.36,16.92
KARO,1211,56.63,21.76,12.25,11.46,2.65,24.27,23.25
DELI SERDANG,1212,43.46,34.73,10.57,12.51,3.55,38.04,22.9
LANGKAT,1213,50.49,38.62,5.84,8.38,1.45,39.9,14.28
NIAS SELATAN,1214,93.02,3.61,1.29,4.09,0.38,3.93,5.57
HUMBANG HASUNDUTAN,1215,76.46,15.9,4.05,3.99,4.34,19.97,7.75
PAKPAK BHARAT,1216,65.56,13.09,19.45,10.17,1.25,14.93,29.86
SAMOSIR,1217,75.48,15.7,5.65,3.17,2.7,18.6,8.9
SERDANG BEDAGAI,1218,37.5,45.09,8.58,10.23,3.37,48.11,18.62
BATU BARA,1219,50.07,31.07,6.85,10.9,4.17,35.22,17.86
PADANG LAWAS UTARA,1220,70.38,26.79,3.83,3.65,0.93,26.64,7.42
PADANG LAWAS,1221,69.5,24.11,8.03,2.36,0.6,24.46,10.53
LABUHAN BATU SELATAN,1222,70.65,21.09,4.82,7.91,0.73,22.16,12.77
LABUHAN BATU UTARA,1223,63.14,30.87,4.43,6.58,1.33,31.92,10.72
NIAS UTARA,1224,91.19,2.69,1.6,5.38,0.36,3.14,7.08
NIAS BARAT,1225,91.69,2.26,1.03,6.25,0,1.87,7.6
KOTA SIBOLGA,1271,80.13,18.44,1.51,6.16,0.88,19.49,7.56
KOTA TANJUNG BALAI,1272,51.47,39.66,2.82,8.62,1.68,42.89,11.23
KOTA PEMATANG SIANTAR,1273,57.25,31.4,3.47,8.73,3.73,35.17,12.37
KOTA TEBING TINGGI,1274,43.74,40.91,10.61,7.47,2.95,43.35,18.01
KOTA MEDAN,1275,47.1,27.87,11.6,14.4,4.77,32.46,25.71
KOTA BINJAI,1276,48.94,35.34,8.97,10.1,1.76,37.24,19.19
KOTA PADANGSIDIMPUAN,1277,61.94,28.68,7.52,8.45,0.97,29.1,16.24
GUNUNGSITOLI,1278,93.68,1.29,0.78,6.62,0.26,1.55,7.41
KEPULAUAN MENTAWAI,1301,95.34,2.12,1.35,0,0,1.86,1.27
PESISIR SELATAN,1302,63.32,29.7,3.63,6.52,0.64,30.08,10.5
SOLOK,1303,74.88,13.08,5.58,8.57,1.43,14.58,14.11
SIJUNJUNG,1304,89.37,7.19,2.89,2.64,0.77,8.01,5.62
TANAH DATAR,1305,56.93,24.58,10.6,9.89,2.83,26.62,20.61
PADANG PARIAMAN,1306,54.77,26.89,5.51,13.9,3.2,29.97,19.47
AGAM,1307,49.46,30.32,6.13,14.74,4.31,34.33,20.43
LIMA PULUH KOTA,1308,58.13,26.18,6.94,10.46,1.82,28.06,17.5
PASAMAN,1309,70.93,19.32,6.25,4.89,1.33,21.32,11.02
SOLOK SELATAN,1310,85.92,7.28,3.9,2.6,1.08,8.51,6.31
DHARMASRAYA,1311,72.23,20.21,5.85,6.27,1,22.29,11.71
PASAMAN BARAT,1312,60.73,25.46,6.58,7.67,4.52,29.52,13.71
KOTA PADANG,1371,57.88,27.7,4.31,12.41,2.33,29.8,16.75
KOTA SOLOK,1372,50.66,41.23,3.59,7.11,1.56,43.31,11
KOTA SAWAH LUNTO,1373,77.19,13.16,2.85,7.64,6.3,18.52,10.01
KOTA PADANG PANJANG,1374,53.73,28.02,5.26,13.49,5.59,32.84,19.3
KOTA BUKIT TINGGI,1375,50.11,28.17,5.36,16.98,3.57,33.05,22.63
PAYAKUMBUH,1376,57.18,25.89,6.7,12.19,2,27.33,19.16
KOTA PARIAMAN,1377,52.73,29.66,3.98,10.45,4.89,35.05,14.23
KUANTAN SINGINGI,1401,76.6,15.47,5.07,3.51,1.78,17.29,8.51
INDRAGIRI HULU,1402,72.61,17.02,2.92,9.46,1.09,18.27,12.49
INDRAGIRI HILIR,1403,80.22,15.03,2.65,4.17,0.98,15.8,6.73
PELALAWAN,1404,80.08,14.83,5.24,2.1,1.2,16.08,7.38
S I A K,1405,71.84,12,7.6,4.13,8.64,20.28,11.52
KAMPAR,1406,66.64,20.93,8.12,5.61,3.68,24.41,13.57
ROKAN HULU,1407,76.54,17.99,3.68,3.76,0.86,19.1,7.76
BENGKALIS,1408,69.96,21.69,3.85,5.52,1.15,22.78,9.38
ROKAN HILIR,1409,72.41,14.83,3.56,11.82,1.34,16.21,15.23
KEPULAUAN MERANTI,1410,81.08,8.93,1.5,5.64,0.81,9.98,6.97
KOTA PEKANBARU,1471,59.58,19.49,7.49,14.15,4.48,23.87,21.52
KOTA DUMAI,1473,64.01,24.63,4.05,7.69,3.81,28.47,11.99
KERINCI,1501,80.53,6.74,10.68,4.35,1.6,8.54,14.6
MERANGIN,1502,68.1,10.76,17.79,5.35,2.42,12.96,23.2
SAROLANGUN,1503,76.97,6.41,10.97,6.59,3.11,9.5,17.36
BATANG HARI,1504,54.79,23.92,16.49,7.99,2.77,26.6,24.23
MUARO JAMBI,1505,48.51,20.74,13.85,18.17,3.75,24.29,31.88
TANJUNG JABUNG TIMUR,1506,63.13,9.03,23.03,6.43,1.54,10.11,29.6
TANJUNG JABUNG BARAT,1507,63.66,16.32,12.46,5.83,6.25,22.39,18.13
TEBO,1508,58.65,23.2,13.21,8.2,1.24,24.39,21.45
