CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
SIMEULUE,1101,88.44,5.3,2.73,4.32,0.45,6.08,6.96
ACEH SINGKIL,1102,57.07,4.52,39.46,5.19,0.64,5.15,44.51
ACEH SELATAN,1103,72.15,5.9,20.48,6.34,1.34,7.02,25.66
ACEH TENGGARA,1104,80.3,8.71,10.38,4.65,3.44,11.96,14.72
ACEH TIMUR,1105,76.76,11.63,1.25,14.59,0.76,12.63,15.57
ACEH TENGAH,1106,90.69,2.23,4.09,5.43,0.86,2.98,9.35
ACEH BARAT,1107,81.79,12.84,4.89,3.76,1.3,14.7,8.15
ACEH BESAR,1108,60.01,21.86,9.82,13.38,2.28,23.21,22.94
PIDIE,1109,63.56,20.29,4.46,17.88,1.47,22.02,21.89
BIREUEN,1110,67.56,21.44,1.9,14.29,1.14,22.56,15.9
ACEH UTARA,1111,66.77,19.84,3.23,15.14,1.05,20.55,18.72
ACEH BARAT DAYA,1112,72.39,14.12,7.34,9.52,3.83,17.48,16.67
GAYO LUES,1113,87.11,4.27,6.77,3.89,2.41,6.68,10.32
ACEH TAMIANG,1114,68.01,23.84,3.8,8.95,2.13,25.57,12.62
NAGAN RAYA,1115,85.5,5.07,9.01,4.3,1.08,6.1,12.73
ACEH JAYA,1116,91.27,6.15,3.09,2.75,0.27,6.86,6.03
BENER MERIAH,1117,88.45,4.56,6.05,5.55,0.92,5.46,11.3
PIDIE JAYA,1118,66.3,28.8,2.06,6.38,2.03,30.36,8.32
KOTA BANDA ACEH,1171,69.68,15.8,3.74,15.65,2.29,17.84,19.01
KOTA SABANG,1172,75.75,14.87,5.27,6.81,2.3,16.55,11.46
KOTA LANGSA,1173,66.62,20.38,1.72,17.79,1.38,21.75,19.1
KOTA LHOKSEUMAWE,1174,69.83,21.22,2.54,12.19,1.95,23.02,14.63
KOTA SUBULUSSALAM,1175,51.71,17.28,31.6,5.99,4.59,21.46,36.89
NIAS,1201,93.35,2.63,0.97,4.92,0.57,3.09,6
MANDAILING NATAL,1202,63.9,28.02,10.01,3.74,0.71,28.89,13.39
TAPANULI SELATAN,1203,65.57,27.93,7,7.73,0.8,28.65,14.43
TAPANULI TENGAH,1204,71.27,25.36,3.17,6.41,0.72,26.24,8.99
TAPANULI UTARA,1205,73.36,18.38,5.71,5.12,4.31,22.43,10.43
TOBA SAMOSIR,1206,69.04,17.91,4.56,4.45,9.88,27.45,8.89
LABUHAN BATU,1207,62.42,30.15,4.14,11.08,1.7,31.6,14.74
ASAHAN,1208,58.07,31.69,4.56,9.32,2.7,34.35,13.89
SIMALUNGUN,1209,55.08,34.21,4.65,8.42,5.51,39.03,12.73
DAIRI,1210,60.77,23.54,10.67,8.34,5.73,28.62,18.77
KARO,1211,58.73,22.84,11.43,11.19,3.08,25.92,22.38
DELI SERDANG,1212,44.94,35.19,11.72,12.08,4.22,39.02,23.35
LANGKAT,1213,51.62,37.58,6.59,10.11,1.49,38.62,16.6
NIAS SELATAN,1214,91.42,4.59,1.33,4.4,0.57,5.29,5.64
HUMBANG HASUNDUTAN,1215,75.84,17.04,4.59,4.48,4.33,21.31,9.23
PAKPAK BHARAT,1216,66.5,15.7,21.81,9.6,1.14,16.97,30.71
SAMOSIR,1217,78.29,17.38,4.37,2.97,3.19,21.02,7.38
SERDANG BEDAGAI,1218,39.09,45.72,8.77,10.11,3.76,49.23,18.34
BATU BARA,1219,48.8,33.37,6.82,12.38,5.98,39.28,18.8
PADANG LAWAS UTARA,1220,80.94,18.49,4.98,4.15,0.65,18.37,8.91
PADANG LAWAS,1221,68.54,28.79,9.36,2.43,0.27,28.66,11.53
LABUHAN BATU SELATAN,1222,68.51,25.11,5.41,9.76,0.72,25.73,14.55
LABUHAN BATU UTARA,1223,68.69,26.87,5.26,5.85,1.17,27.89,10.93
NIAS UTARA,1224,92.93,4.99,1.59,4.41,0.66,5.44,5.99
NIAS BARAT,1225,87.63,3.5,0.91,5.58,0.96,5.12,6.59
KOTA SIBOLGA,1271,70.7,25.1,1.98,8.45,0.85,26.33,10.58
KOTA TANJUNG BALAI,1272,50.02,42.09,3.15,9.79,2.22,43.46,12.76
KOTA PEMATANG SIANTAR,1273,57.02,33.57,3.98,8.57,5.27,38.3,12.56
KOTA TEBING TINGGI,1274,43.91,40.91,11.76,9.55,4.34,43.45,20.65
KOTA MEDAN,1275,48.08,31.14,11.55,13.06,5.56,36.04,24.01
KOTA BINJAI,1276,47.81,37.2,9.58,10.23,2.17,39.21,19.66
KOTA PADANGSIDIMPUAN,1277,60.86,31.65,7.44,8.62,0.83,31.71,15.94
GUNUNGSITOLI,1278,93.49,1.88,0.88,6.31,0.42,2.21,7.1
KEPULAUAN MENTAWAI,1301,95.16,5.48,1.21,0.97,0,5.65,2.74
PESISIR SELATAN,1302,67.77,26.01,4.07,8.21,0.49,27.33,12.32
SOLOK,1303,74.07,17.15,4.22,8.59,1.71,18.8,12.53
SIJUNJUNG,1304,90.54,5.27,3.21,3.07,0.43,5.8,6.4
TANAH DATAR,1305,54.77,22.79,15.8,11.35,2.54,25.24,26.41
PADANG PARIAMAN,1306,56.4,29.9,4.35,12.91,2.91,32.7,17.07
AGAM,1307,48.67,32.34,6.62,15.96,3.68,35.74,22.13
LIMA PULUH KOTA,1308,57.79,27.23,8,10.82,1.74,28.68,18.72
PASAMAN,1309,71.59,20.83,6.37,6.09,1.23,22.08,12.56
SOLOK SELATAN,1310,89.79,7.05,2.86,3.29,1.02,8.05,6.12
DHARMASRAYA,1311,75.47,21.31,4.15,6.73,0.77,21.7,10.9
PASAMAN BARAT,1312,62.81,24.82,7.35,9.04,4.01,28.3,16.4
KOTA PADANG,1371,58.8,28.57,4.39,13.43,2.33,30.76,17.51
KOTA SOLOK,1372,74.73,16.79,3.87,8.47,1.68,18.22,12.06
KOTA SAWAH LUNTO,1373,73.54,13.8,2.7,7.7,7.07,20.85,10.4
KOTA PADANG PANJANG,1374,56.15,27.07,5.71,15.24,4.83,31.19,20.25
KOTA BUKIT TINGGI,1375,51.86,30.06,5.41,15.74,4.14,33.9,20.32
PAYAKUMBUH,1376,58.8,25.1,7.45,12.6,1.8,27.17,19.41
KOTA PARIAMAN,1377,55.46,30.43,4.06,12.92,6.2,36.1,17.11
KUANTAN SINGINGI,1401,75.56,16.14,7.28,4.34,1.65,17.36,10.98
INDRAGIRI HULU,1402,75.36,17.72,3.11,8.28,0.86,18.74,11.29
INDRAGIRI HILIR,1403,80.78,15.79,2.66,5.1,0.75,16.59,7.67
PELALAWAN,1404,80.14,15.39,4.97,2.97,1.44,17.13,7.96
S I A K,1405,74.89,12.06,7.06,4.74,7.29,18.99,11.28
KAMPAR,1406,61.59,19.89,12.48,10.07,3.11,22.77,22.36
ROKAN HULU,1407,77.59,18.01,4.05,4.46,0.66,18.58,8.45
BENGKALIS,1408,73.34,22.83,3.42,5.32,0.52,22.84,8.86
ROKAN HILIR,1409,71.76,14.21,3.7,14.73,1.38,15.47,18.38
KEPULAUAN MERANTI,1410,80.72,10.81,1.48,6.69,0.76,11.45,7.89
KOTA PEKANBARU,1471,61.79,18.93,7.72,14.46,4.71,23.32,21.93
KOTA DUMAI,1473,65.08,24.19,3.86,9.13,3.99,28.12,12.77
KERINCI,1501,79.99,8.34,10.24,4.76,1.23,9.33,14.77
MERANGIN,1502,71.49,10.15,14.51,7.61,2.15,11.99,21.95
SAROLANGUN,1503,77.91,5.82,12.15,8.99,2.94,8.97,20.16
BATANG HARI,1504,54.83,20.07,22.26,8.81,1.58,20.35,30.52
MUARO JAMBI,1505,53.91,19.43,14.2,16.68,3.31,22.63,30.61
TANJUNG JABUNG TIMUR,1506,64.16,8.54,26.29,6.59,1.13,9.86,32.34
TANJUNG JABUNG BARAT,1507,66.56,16.27,14.05,6.4,3.59,19.59,19.64
TEBO,1508,62.24,22.56,13.68,7.84,0.84,23.79,21.44
BUNGO,1509,60.52,27.33,11.91,5.81,1.17,28.93,17.56
KOTA JAMBI,1571,56.77,18.28,14.33,14.66,3.24,21.19,28.56
SUNGAI PENUH,1572,80.87,7.6,9.27,6.38,0.89,8.95,15.41
OGAN KOMERING ULU,1601,45,22.98,27.2,7.79,6.2,28.96,34.29
OGAN KOMERING ILIR,1602,37.3,25.02,36.91,5.45,2.97,27.76,41.75
MUARA ENIM,1603,39.9,25.93,29.67,6.17,6.6,32.36,35.57
LAHAT,1604,50.33,30.62,14.48,5.39,6.59,36.77,19.82
MUSI RAWAS,1605,54.79,26.68,17.66,6.57,1.14,28.04,24.18
MUSI BANYUASIN,1606,55.42,28.41,16.31,5.47,3.31,31.22,21.35
BANYU ASIN,1607,41.16,28.06,16.27,14.77,7.49,35.03,30.67
OGAN KOMERING ULU SELATAN,1608,55.8,11.41,34.68,4.91,0.6,12.67,38.93
OGAN KOMERING ULU TIMUR,1609,33.46,22.13,42.26,9.98,1.03,23.13,51.16
OGAN ILIR,1610,36.29,33.09,22.36,8.86,8.99,40.24,31.02
EMPAT LAWANG,1611,57.98,31.87,14.18,3.31,2.14,32.88,17.92
PENUKAL ABAB LEMATANG ILIR,1612,68.34,22.3,12.21,4.8,1.23,23.58,16.59
MUSI RAWAS UTARA,1613,69.07,11.95,22.77,4.29,0.32,12.59,27.06
KOTA PALEMBANG,1671,41.68,27.8,15.19,15.42,8.47,35.62,30.15
KOTA PRABUMULIH,1672,41.58,30.21,11.69,13.14,12.62,42.03,25.12
KOTA PAGAR ALAM,1673,52.76,24.68,17.52,11.01,2.2,25.83,28.21
KOTA LUBUKLINGGAU,1674,53.56,28.3,13.29,11.96,2.06,29.33,24.91
BENGKULU SELATAN,1701,70.18,9.35,19.5,7.2,0.64,9.92,26.7
REJANG LEBONG,1702,45.03,26.9,24.76,10.47,0.58,27.25,34.69
BENGKULU UTARA,1703,75.92,10.66,15.85,1.81,0.68,11.26,17.61
KAUR,1704,78.87,9.74,14.82,2.75,0.56,9.96,17.49
SELUMA,1705,51.6,24.57,21.9,9.35,1.45,25.5,30.09
MUKOMUKO,1706,78.05,6.71,17.09,3.48,0.16,6.79,20.72
LEBONG,1707,70.46,8.61,25.18,2.19,0.75,9.12,27.29
KEPAHIANG,1708,62.19,28.1,13.3,3.4,0.21,27.78,16.52
BENGKULU TENGAH,1709,55.26,24.75,18.42,5.77,0,24.44,23.73
KOTA BENGKULU,1771,52.25,21.51,19.33,13.96,0.61,22.01,32.77
LAMPUNG BARAT,1801,40.49,28.2,34.55,3.98,0.92,28.69,37.48
TANGGAMUS,1802,45.9,28.97,22.51,8.38,1.14,30.11,30.59
LAMPUNG SELATAN,1803,24.52,30.56,31.01,16.51,4.85,35.18,46.85
LAMPUNG TIMUR,1804,34.4,28.52,28.61,5.56,9.9,37.94,33.7
LAMPUNG TENGAH,1805,29.07,32.77,30.5,8.4,6.56,39.12,38.59
LAMPUNG UTARA,1806,33.13,35.64,23.72,13.08,3.16,38.4,35.8
WAY KANAN,1807,38.47,26.82,35.65,5.04,1.9,28.67,40.41
TULANGBAWANG,1808,53.79,20.67,29.14,2.68,1.89,21.75,31.66
PESAWARAN,1809,26.07,30.05,28.13,11.16,10.92,39.82,39.42
PRINGSEWU,1810,30.93,24.07,31.85,9.41,10.81,35.08,40.79
MESUJI,1811,66.17,8.93,26.68,5.67,0.99,9.88,31.75
TULANG BAWANG BARAT,1812,49.36,22.84,29.37,4.44,1.37,25.92,33.59
PESISIR BARAT,1813,54.64,15.55,28.93,8.61,1.45,16.84,37.29
KOTA BANDAR LAMPUNG,1871,36.71,22.25,25.8,18.23,5.18,27.08,43.26
KOTA METRO,1872,31.79,24.56,25.95,17.03,9.05,33.58,41.83
BANGKA,1901,47.44,36.34,14.19,5.22,2.67,39.08,19.36
BELITUNG,1902,38.41,58.12,5.1,1.65,0.89,59.47,6.78
BANGKA BARAT,1903,55.92,30.03,14.64,3.13,3.16,32.66,17.82
BANGKA TENGAH,1904,49.48,36,12.51,3.89,3.02,38.4,16.57
BANGKA SELATAN,1905,60.78,31.86,6,2.5,2.89,35.19,8.57
BELITUNG TIMUR,1906,51.74,46.18,4.67,1.26,0.83,46.67,5.96
KOTA PANGKALPINANG,1971,45.32,36.09,14.23,6.73,4.95,40.88,20.72
KARIMUN,2101,69.96,17.31,10.12,4.42,1.56,19.29,14.45
BINTAN,2102,51.34,41.67,6.87,5.22,1.19,41.31,11.91
NATUNA,2103,74.12,18.09,2.92,1.19,5.88,23.97,3.76
LINGGA,2104,74.55,21.09,8.78,2.02,0.98,20.88,10.49
KEPULAUAN ANAMBAS,2105,92.77,3.48,1.36,0.82,6.82,9.48,1.3
KOTA BATAM,2171,59.71,19.82,11.57,11.7,2.21,21.97,23.01
KOTA TANJUNG PINANG,2172,60.8,30.92,6.73,5.86,1.02,31.46,12.43
KEPULAUAN SERIBU,3101,39.34,27.87,32.51,5.74,3.01,27.32,39.34
JAKARTA SELATAN,3171,40.51,20.46,28.56,12.39,5.07,25.33,40.3
JAKARTA TIMUR,3172,39.75,19.07,26.57,14.91,6.89,25.75,40.71
JAKARTA PUSAT,3173,38.67,19.69,28.24,12.13,7.85,27.25,39.67
JAKARTA BARAT,3174,35.75,19.97,29.14,14.73,7.4,27.07,43.14
JAKARTA UTARA,3175,34.23,21.84,29.28,13.51,7.69,29.21,42.13
BOGOR,3201,22.8,24.47,37.12,15.33,7.12,31.42,51.37
SUKABUMI,3202,16.26,22.35,58.05,6.3,3.41,25.63,63.73
CIANJUR,3203,18.49,37.53,42.02,6.19,2.44,39.75,47.71
BANDUNG,3204,33.8,36,17.08,12.78,8.34,43.8,29.33
GARUT,3205,37.66,32.05,15.52,16.87,6.81,38.42,31.81
TASIKMALAYA,3206,51.43,24.85,19.15,8.34,2.83,27.59,27.26
CIAMIS,3207,46.93,25.27,21.36,8.95,4.44,29.69,29.98
KUNINGAN,3208,27.67,30.75,26.86,19.47,2.37,32.84,45.44
CIREBON,3209,26.72,39.19,11.81,20.67,7.3,46.02,32.19
MAJALENGKA,3210,37.36,29.41,22.2,13,4.34,33.48,34.7
SUMEDANG,3211,40.62,30.79,19.86,10.47,6.55,36.67,29.95
INDRAMAYU,3212,28.19,48.55,10.48,15.08,2.7,50.8,25.29
SUBANG,3213,36.69,42.85,12.04,10.74,3.18,45.88,22.63
PURWAKARTA,3214,20.69,53.2,18.09,11.31,3.52,56.27,29.12
KARAWANG,3215,19.7,25.83,40.88,15.83,4.24,29.81,55.83
BEKASI,3216,28.71,20.88,32.49,16.57,8.83,29.35,48.03
BANDUNG BARAT,3217,28.13,38.54,20.99,12.34,7.21,45.22,33.11
PANGANDARAN,3218,60.33,16.73,21.26,4.06,3.79,20.6,24.6
KOTA BOGOR,3271,20.97,20.77,38.81,18.94,7.92,28.29,56.6
KOTA SUKABUMI,3272,18.24,23.13,53.94,9.94,2.85,25.5,62.55
KOTA BANDUNG,3273,35.43,29.8,17.22,16.72,8.64,37.91,33.42
KOTA CIREBON,3274,31.29,31.18,11.73,24.02,8.8,39.33,35.31
KOTA BEKASI,3275,31.82,18.86,29.7,20.15,7.4,25.93,48.72
KOTA DEPOK,3276,32.46,21.02,25.38,19.31,8.89,29.56,43.87
KOTA CIMAHI,3277,34.09,22.26,19.43,21.58,9.43,31.4,40.59
KOTA TASIKMALAYA,3278,45.2,28.16,19.61,11.58,2.8,30.81,30.69
KOTA BANJAR,3279,35.87,26.74,19.66,18.68,5.69,32.75,37.56
CILACAP,3301,26.93,20.47,26.3,9.73,22.67,42.64,35.68
BANYUMAS,3302,30.34,18.87,29.49,10.5,17.21,35.63,39.53
PURBALINGGA,3303,28.77,22.21,32.23,9.47,13.92,35.87,41.26
BANJARNEGARA,3304,42.4,16.14,24.07,8.06,15.97,31.75,31.53
KEBUMEN,3305,31.92,26.68,21.16,10.98,16.08,42.27,31.8
PURWOREJO,3306,42.42,13.81,24.08,10.09,15.8,29.75,33.48
WONOSOBO,3307,40.58,19,22.68,9.95,15.47,33.64,32.14
MAGELANG,3308,28.34,22.13,33.05,8.91,14.16,35.84,41.31
BOYOLALI,3309,32.7,15.1,34.99,8.02,15.29,30.06,42.38
KLATEN,3310,24.1,20.25,37.01,12.13,13.05,33.01,48.24
SUKOHARJO,3311,26.38,21.68,36.6,11.34,10.22,31.42,47.45
WONOGIRI,3312,49.11,19.09,19.74,9.05,9.39,28.39,28
KARANGANYAR,3313,33.04,19.71,29.16,12.47,11.83,31,40.75
SRAGEN,3314,39.27,16.45,23.88,7.76,18.61,34.53,31.28
GROBOGAN,3315,29.98,12.94,22.22,9.74,31.57,43.89,31.36
BLORA,3316,35.28,14.85,16.67,8.58,30.91,44.76,25.06
REMBANG,3317,35.82,15.49,13.82,14.77,25.55,40.93,28.05
PATI,3318,39.4,14.04,18.89,15.86,17.17,30.87,34.35
KUDUS,3319,22.07,20.42,36.58,13.15,14.24,34.12,49.03
JEPARA,3320,27.5,21.83,22.37,19.9,15.55,36.82,41.61
DEMAK,3321,23.24,17.41,22.85,14.42,28.15,44.92,36.99
SEMARANG,3322,26.36,22.6,30.92,11.47,14.95,36.95,41.91
