CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
SIMEULUE,1101,87.51,6.98,2.99,5.26,0.42,7.5,8.34
ACEH SINGKIL,1102,56.49,5.62,41.2,4.98,0.49,5.88,44.43
ACEH SELATAN,1103,63.83,6.53,29.79,5.72,0.84,7.58,35.46
ACEH TENGGARA,1104,82.81,9.93,8.67,3.98,1.5,11.25,12.21
ACEH TIMUR,1105,76.49,10.58,1.19,16.1,0.46,10.87,17.73
ACEH TENGAH,1106,93.14,2.73,3.62,4.75,0.61,3.26,8.09
ACEH BARAT,1107,81.26,14.77,4.77,3.99,0.89,15.41,8.75
ACEH BESAR,1108,59.57,25.06,11.01,9.93,1.72,26,21.69
PIDIE,1109,66.73,20.23,4.91,16.36,1.02,21.64,20.13
BIREUEN,1110,67.39,22.02,2.18,14.63,0.93,22.9,16.51
ACEH UTARA,1111,67.31,20.06,3.2,15.82,0.98,21.09,18.57
ACEH BARAT DAYA,1112,73.22,16.48,8.44,9.21,2.33,18.72,17.08
GAYO LUES,1113,88.74,4.78,6.42,3.25,1.22,6.04,9.84
ACEH TAMIANG,1114,69.51,24.01,3.63,8.24,1.62,26.44,11.65
NAGAN RAYA,1115,85.6,5.82,8.1,4.07,0.63,6.4,11.81
ACEH JAYA,1116,88.46,7.31,2.78,2.89,0.42,7.76,5.65
BENER MERIAH,1117,88.42,3.85,6.74,5.66,0.57,4.48,12.43
PIDIE JAYA,1118,68.87,30.93,2.66,5.75,1.35,32.46,8.5
KOTA BANDA ACEH,1171,70.46,15.66,4.44,15.45,1.84,17.39,19.41
KOTA SABANG,1172,76.95,15.07,6.53,5.09,1.77,16.33,11.29
KOTA LANGSA,1173,65.61,20.95,1.72,18.24,0.94,21.96,19.96
KOTA LHOKSEUMAWE,1174,69.41,22.01,2.27,12.22,1.76,23.38,14.54
KOTA SUBULUSSALAM,1175,51.51,20.5,34.44,6.24,2.72,20.38,38.95
NIAS,1201,94.43,2.56,0.65,5.04,0,2.72,5.41
MANDAILING NATAL,1202,60.55,29.61,13.58,4.71,0.48,30.12,18.11
TAPANULI SELATAN,1203,64.43,27.87,9.74,5.59,0.81,28.64,15.12
TAPANULI TENGAH,1204,70.19,26.65,3.37,6.19,0.62,27.34,9.3
TAPANULI UTARA,1205,72.42,19.57,5.21,4.94,4.07,23.96,9.9
TOBA SAMOSIR,1206,70.02,17.95,4.26,4.61,8.42,26.36,8.68
LABUHAN BATU,1207,61.95,33.87,3.88,9.02,1.6,35.03,12.55
ASAHAN,1208,58.14,31.21,4.49,9.42,2.9,33.91,13.58
SIMALUNGUN,1209,55.64,34.16,4.52,7.49,5.25,39.12,12.12
DAIRI,1210,61.1,25.35,9.66,7.32,5.16,30.32,16.65
KARO,1211,58.52,24.68,10.31,11.14,3.09,27.95,21.08
DELI SERDANG,1212,46.16,37.08,12.22,9.56,3.47,40.04,21.39
LANGKAT,1213,53.28,37.49,6.85,9.42,1.32,38.44,15.86
NIAS SELATAN,1214,92.49,4.75,1.43,3.43,0.61,5.28,4.95
HUMBANG HASUNDUTAN,1215,73.43,21.99,4.56,4.13,3.17,24.43,8.54
PAKPAK BHARAT,1216,66.31,17.23,17.64,6.55,0.65,17.99,24.42
SAMOSIR,1217,76.67,19.82,4.4,3.19,2.69,22.18,7.46
SERDANG BEDAGAI,1218,41.99,44.58,9.05,9.09,3.53,47.69,17.76
BATU BARA,1219,50.65,33.56,6.63,11.34,5.31,38.43,17.76
PADANG LAWAS UTARA,1220,75.78,20.24,4.34,4.39,0.33,21.06,8.62
PADANG LAWAS,1221,66.54,30.87,9.17,2.44,0.2,31.37,11.05
LABUHAN BATU SELATAN,1222,67.56,29.02,4.43,7.33,0.73,29.48,11.84
LABUHAN BATU UTARA,1223,69.51,29.89,5,5.04,1.39,31.12,9.96
NIAS UTARA,1224,93.19,5.97,1.7,3.28,0.5,6.47,4.83
NIAS BARAT,1225,90.95,5.16,1.35,3.89,0.41,5.23,5.57
KOTA SIBOLGA,1271,70.04,27.11,2.43,8.93,0.44,27.02,10.86
KOTA TANJUNG BALAI,1272,50.26,40.32,3.37,9.75,1.93,41.78,13.25
KOTA PEMATANG SIANTAR,1273,56.62,35.71,3.87,8.11,4.98,39.84,11.87
KOTA TEBING TINGGI,1274,47,40.5,10.98,7.4,4.07,43.03,19.1
