dates,Region,tsel,xl,isat,three,smartfren,xl+,ioh,level
07/26/2026,Area 1,54.35,23.56,12.6,10.29,3.69,27.13,22.72,Area
07/26/2026,Area 2,30.55,25.92,26.33,14.7,6.73,32.43,40.64,Area
07/26/2026,Area 3,36.11,22.12,25.16,10.1,9.73,31.65,35.01,Area
07/26/2026,Area 4,60.59,13.02,18.08,8.23,4.06,16.96,26.12,Area
07/26/2026,Sumbagut,58.79,25.2,7.53,10.22,3.04,28.09,17.54,Region
07/26/2026,Sumbagteng,64.08,20.66,6.71,9.43,2.86,23.44,16.01,Region
07/26/2026,Sumbagsel,44.3,23.97,20.78,10.91,4.83,28.64,31.47,Region
07/26/2026,Jakarta Banten,32.19,24.26,26.61,14.06,7.01,31.06,40.31,Region
07/26/2026,Eastern Jabotabek,25.87,21.71,33.96,15.82,6.82,28.39,49.31,Region
07/26/2026,Jabar,33.07,31.8,18.78,14.34,6.31,37.88,32.86,Region
07/26/2026,Jateng,28.94,19.94,26.15,12.91,15.84,35.48,38.77,Region
07/26/2026,Jatim,35.23,20.21,31.88,9.41,6.25,26.3,41.06,Region
07/26/2026,BaliNusra,52.7,30.22,10.5,5.54,3.55,33.61,15.89,Region
07/26/2026,Kalimantan,53.25,15.73,23.96,9.26,1.81,17.45,33.06,Region
07/26/2026,Sulawesi,57.62,14.1,16.82,9.21,6.81,20.7,25.79,Region
07/26/2026,Puma,94.27,0.49,5.1,1.29,0.13,0.63,6.33,Region
07/26/2026,Java,33.31,24.02,25.75,12.39,8.24,32.05,37.84,Area Group
07/26/2026,Non Java,56.99,19.01,15.02,9.4,3.87,22.76,24.23,Area Group
07/26/2026,National,43.12,21.92,21.28,11.13,6.43,28.17,32.16,Nationwide
07/26/2026,Basic,59.15,20.04,12.89,9.31,3.17,23.08,22.03,Archetype
07/26/2026,Compete,32.15,24.59,26.12,12.78,8.29,32.66,38.58,Archetype
07/26/2026,Fortress,84.46,6.68,7.02,3.45,1.01,7.67,10.4,Archetype
07/26/2026,Super Fortress,94.08,0.74,4.62,1.74,0.16,0.91,6.32,Archetype
07/26/2026,Compete AREA 2,30.55,25.92,26.33,14.7,6.73,32.43,40.64,Archetype Area
07/26/2026,Compete AREA 3,31.22,22.85,27.59,10.81,10.81,33.45,38.16,Archetype Area
07/26/2026,Basic AREA 1,54.54,24.68,10.95,10.9,3.71,28.24,21.67,Archetype Area
07/26/2026,Basic AREA 2,33.75,22.87,24.93,15.36,7.44,30.09,39.88,Archetype Area
07/26/2026,Basic AREA 3,49.79,26.36,15.02,6.59,4.86,31.15,21.51,Archetype Area
07/26/2026,Basic AREA 4,48.13,17.53,22.36,10.84,5.81,23.17,32.93,Archetype Area
07/26/2026,Fortress AREA 1,75.84,13.58,7.24,5.22,1.54,15.08,12.4,Archetype Area
07/26/2026,Fortress AREA 3,87.81,4.63,4.51,4.73,1.1,5.69,9.16,Archetype Area
07/26/2026,Fortress AREA 4,78.15,6.75,12.81,4.44,1.16,7.87,17.17,Archetype Area
07/26/2026,Super Fortress AREA 1,92.7,2.51,1.15,5.14,0.35,2.84,6,Archetype Area
07/26/2026,Super Fortress AREA 4,94.28,0.49,5.08,1.27,0.13,0.63,6.33,Archetype Area
