CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
SIMEULUE,1101,90.12,5.09,2.17,3.62,0.58,5.84,5.62
ACEH SINGKIL,1102,56.63,4.05,38.57,4.76,0.86,4.55,43.05
ACEH SELATAN,1103,69.76,4.59,21.32,5.67,2.17,6.6,27.09
ACEH TENGGARA,1104,72.34,7.94,10.53,6.08,8.2,16.25,16.07
ACEH TIMUR,1105,76.21,10.71,1.34,14.03,0.92,11.75,15.08
ACEH TENGAH,1106,91.23,2.44,3.16,4.59,0.95,3.26,7.66
ACEH BARAT,1107,79.26,15.41,3.81,3.57,1.88,16.85,7.43
ACEH BESAR,1108,64.32,21.86,6,9.47,2.69,24.51,15.92
PIDIE,1109,64.62,20.03,3.41,14.71,2.02,22.13,17.65
BIREUEN,1110,66.08,23.43,1.47,12.07,1.47,24.87,13.27
ACEH UTARA,1111,69.62,18.4,2.34,11.22,1.46,19.84,13.46
ACEH BARAT DAYA,1112,72.43,10.75,4.72,8.66,7.74,18.2,13.73
GAYO LUES,1113,86.42,3.39,6.4,3.64,3.66,6.97,10
ACEH TAMIANG,1114,68.11,23.05,3.06,8.19,2.47,25.05,11.76
NAGAN RAYA,1115,86.36,5.29,6.86,3.51,1.49,6.74,10.33
ACEH JAYA,1116,86.17,7.17,4.6,2.85,0.78,8.06,7.49
BENER MERIAH,1117,85.92,4.29,3.99,5.39,2.7,6.85,9.49
PIDIE JAYA,1118,63.39,29.27,1.81,5.31,3.03,31.62,7.03
KOTA BANDA ACEH,1171,70.72,14.29,3.28,14.2,2.34,16.59,17.2
KOTA SABANG,1172,77.06,13.07,4.1,4.76,1.83,14.67,8.78
KOTA LANGSA,1173,68.29,17.14,1.68,16.22,1.26,18.66,17.36
KOTA LHOKSEUMAWE,1174,71.97,18.61,1.99,10.06,2.1,20.45,12.18
KOTA SUBULUSSALAM,1175,55.46,15.25,27.4,5.8,5.51,20.66,33.07
NIAS,1201,95.53,0.87,0.56,4.37,0,0.96,4.85
MANDAILING NATAL,1202,61.2,32.24,8.12,2.36,0.56,32.81,10.34
TAPANULI SELATAN,1203,66.92,24.22,7.37,6.12,0.84,25.8,12.97
TAPANULI TENGAH,1204,78.79,18.16,2.62,4.29,0.87,19.21,6.6
TAPANULI UTARA,1205,73.46,15.74,5.47,4.36,4.85,20.35,9.99
TOBA SAMOSIR,1206,73.09,15.67,3.97,3.5,8.31,22.88,7.32
LABUHAN BATU,1207,61.27,28.49,2.69,13.02,1.34,28.98,14.9
ASAHAN,1208,59.71,29.18,4.17,7.93,2.47,31.6,12.11
SIMALUNGUN,1209,55.84,31.14,4.35,8.18,5.02,36.18,12.32
DAIRI,1210,61.27,20.13,8.78,8.78,5.67,25.89,18.12
KARO,1211,57.64,21.78,11.87,11.06,2.7,24.33,23
DELI SERDANG,1212,43.23,34.63,10.67,12.12,3.54,38,22.6
LANGKAT,1213,50.09,38.35,6.02,8.47,1.42,39.67,14.5
NIAS SELATAN,1214,92.82,3.5,1.31,4.07,0.48,4.03,5.5
HUMBANG HASUNDUTAN,1215,77.96,15.01,3.87,3.76,4.37,19.29,7.31
PAKPAK BHARAT,1216,62.68,13.73,21.31,11.33,1.6,15.15,33.13
SAMOSIR,1217,78.94,15.06,5.3,3.24,2.75,17.79,8.68
SERDANG BEDAGAI,1218,38.61,44.6,8.25,9.82,3.32,47.83,18.03
BATU BARA,1219,50.8,31.19,6.37,11.05,4.12,35.3,17.4
PADANG LAWAS UTARA,1220,70.14,25.25,4.17,3.41,1.14,26.33,7.75
PADANG LAWAS,1221,69.26,23.77,8.27,2.38,0.62,24.91,10.38
