dates,Region,tsel,xl,isat,three,smartfren,xl+,ioh,level
08/31/2025,Area 1,55.39,24.7,12.8,10.63,3.71,28.13,23.08,Area
08/31/2025,Area 2,31.11,27.3,26.81,15,6.77,33.72,41.14,Area
08/31/2025,Area 3,36.91,24.09,25.25,10.08,9.36,33.07,34.9,Area
08/31/2025,Area 4,62.37,14.04,17.73,8.42,3.62,17.47,25.76,Area
08/31/2025,Sumbagut,58.73,26.77,8.15,10.52,3.45,29.91,18.26,Region
08/31/2025,Sumbagteng,64.98,21.17,6.94,10.23,2.75,23.81,16.98,Region
08/31/2025,Sumbagsel,46.4,25.06,20.53,11.01,4.53,29.35,31.11,Region
08/31/2025,Western Jabotabek,28.21,29.85,25.81,15.52,7.5,36.91,40.68,Region
08/31/2025,Central Jabotabek,37.93,20.38,28.27,13.19,6.97,27.09,40.85,Region
08/31/2025,Eastern Jabotabek,25.6,23.05,35.27,16.26,6.89,29.68,50.6,Region
08/31/2025,Jabar,34.47,33.02,19.09,14.42,6.16,38.76,33.05,Region
08/31/2025,Jateng,29.82,21.54,26.56,13.04,15.62,36.59,39.07,Region
08/31/2025,Jatim,35.25,22.67,32.17,9.35,6.01,28.4,41.06,Region
08/31/2025,BaliNusra,54.13,31.82,9.89,5.46,2.93,34.52,15.23,Region
08/31/2025,Kalimantan,54.75,16.27,24.18,9.65,1.45,17.66,33.4,Region
08/31/2025,Sulawesi,59.51,15.76,16.63,9.28,6.02,21.47,25.46,Region
08/31/2025,Puma,95.64,0.68,3.9,1.28,0.14,0.84,5.12,Region
08/31/2025,Java,34.06,25.66,26.01,12.49,8.09,33.39,37.95,Area Group
08/31/2025,Non Java,58.35,20.08,14.99,9.69,3.68,23.52,24.31,Area Group
08/31/2025,National,44.35,23.26,21.32,11.28,6.22,29.17,32.13,Nationwide
08/31/2025,Basic,52.88,23.48,15.79,10.74,4.4,27.59,26.12,Archetype
08/31/2025,Compete,31.8,26.35,27.11,13,8.3,34.28,39.53,Archetype
08/31/2025,Fortress,80.93,9.03,8.87,5.02,0.92,9.89,13.68,Archetype
08/31/2025,Super Fortress,95.19,1.05,3.55,1.8,0.19,1.21,5.3,Archetype
08/31/2025,Compete AREA 2,31.11,27.3,26.81,15,6.77,33.72,41.14,Archetype Area
08/31/2025,Compete AREA 3,31.69,24.98,27.85,10.88,10.53,35.1,38.26,Archetype Area
08/31/2025,Basic AREA 1,55.33,26.03,11.19,11.13,3.86,29.58,21.98,Archetype Area
08/31/2025,Basic AREA 2,34.57,24.29,25.13,15.68,7.53,31.5,40.08,Archetype Area
08/31/2025,Basic AREA 3,52.34,27.75,14.55,5.98,4.04,31.46,20.35,Archetype Area
08/31/2025,Basic AREA 4,49.61,19,22.41,11.22,5.25,23.96,33.14,Archetype Area
08/31/2025,Fortress AREA 1,76.79,13.98,7.08,6.13,1.27,15.15,13.05,Archetype Area
08/31/2025,Fortress AREA 3,88.25,5.86,4.17,4.91,0.5,6.31,8.93,Archetype Area
08/31/2025,Fortress AREA 4,80.46,7.25,11.98,4.37,0.87,8.08,16.02,Archetype Area
08/31/2025,Super Fortress AREA 1,92.46,3.36,1.23,5.17,0.51,3.74,6.5,Archetype Area
08/31/2025,Super Fortress AREA 4,95.81,0.69,3.87,1.27,0.14,0.84,5.11,Archetype Area
