dates,Region,tsel,xl,isat,three,smartfren,xl+,ioh,level
05/24/2026,Area 1,54.59,23.1,12.76,10.77,3.59,26.56,23.33,Area
05/24/2026,Area 2,30.67,25.63,26.48,14.94,6.62,32.05,41.01,Area
05/24/2026,Area 3,36.28,21.87,25.51,10.15,9.53,31.18,35.43,Area
05/24/2026,Area 4,60.84,12.74,18.08,8.39,3.88,16.51,26.26,Area
05/24/2026,Sumbagut,58.91,24.6,7.62,11.01,2.99,27.44,18.43,Region
05/24/2026,Sumbagteng,64.52,20.19,6.79,9.77,2.69,22.75,16.49,Region
05/24/2026,Sumbagsel,44.53,23.66,21.05,11.18,4.7,28.19,31.98,Region
05/24/2026,Jakarta Banten,32.26,23.95,26.68,14.31,7.03,30.75,40.56,Region
05/24/2026,Eastern Jabotabek,25.69,21.37,34.57,16.16,6.64,27.87,50.16,Region
05/24/2026,Jabar,33.37,31.46,18.9,14.56,6.17,37.36,33.19,Region
05/24/2026,Jateng,29.35,19.7,26.41,12.96,15.5,34.91,39.05,Region
05/24/2026,Jatim,35.11,20.07,32.44,9.41,6.1,26.04,41.58,Region
05/24/2026,BaliNusra,53.22,29.9,10.4,5.64,3.41,33.15,15.94,Region
05/24/2026,Kalimantan,53.31,15.34,24.14,9.42,1.71,17.02,33.37,Region
05/24/2026,Sulawesi,57.96,13.84,16.82,9.44,6.52,20.19,26,Region
05/24/2026,Puma,94.41,0.55,4.86,1.29,0.14,0.69,6.12,Region
05/24/2026,Java,33.48,23.75,25.99,12.53,8.09,31.62,38.2,Area Group
05/24/2026,Non Java,57.22,18.64,15.11,9.75,3.73,22.24,24.66,Area Group
05/24/2026,National,43.29,21.61,21.48,11.36,6.29,27.72,32.57,Nationwide
05/24/2026,Basic,59.43,19.62,12.99,9.75,2.95,22.47,22.55,Archetype
05/24/2026,Compete,32.32,24.29,26.36,12.93,8.15,32.21,38.96,Archetype
05/24/2026,Fortress,84.82,6.5,6.97,3.58,0.89,7.37,10.47,Archetype
05/24/2026,Super Fortress,94.05,0.87,4.38,1.76,0.16,1.03,6.14,Archetype
05/24/2026,Compete AREA 2,30.67,25.63,26.48,14.94,6.62,32.05,41.01,Archetype Area
05/24/2026,Compete AREA 3,31.4,22.58,27.97,10.88,10.61,32.97,38.57,Archetype Area
05/24/2026,Basic AREA 1,54.79,24.21,11.09,11.42,3.62,27.67,22.31,Archetype Area
05/24/2026,Basic AREA 2,33.9,22.67,24.97,15.59,7.33,29.77,40.14,Archetype Area
05/24/2026,Basic AREA 3,50.34,26.08,15.11,6.54,4.69,30.65,21.58,Archetype Area
05/24/2026,Basic AREA 4,48.27,17.23,22.49,11.1,5.58,22.63,33.28,Archetype Area
05/24/2026,Fortress AREA 1,75.99,13.19,7.24,5.7,1.38,14.53,12.89,Archetype Area
05/24/2026,Fortress AREA 3,88.06,4.59,4.45,4.9,0.76,5.34,9.23,Archetype Area
05/24/2026,Fortress AREA 4,78.53,6.53,12.75,4.53,1.05,7.53,17.16,Archetype Area
05/24/2026,Super Fortress AREA 1,92.27,3.07,1.13,5.09,0.39,3.44,6.14,Archetype Area
05/24/2026,Super Fortress AREA 4,94.33,0.54,4.85,1.29,0.13,0.68,6.11,Archetype Area
