dates,Region,tsel,xl,isat,three,smartfren,xl+,ioh,level
08/23/2026,Area 1,54.39,23.59,12.55,10.15,3.76,27.22,22.54,Area
08/23/2026,Area 2,30.53,25.98,26.28,14.6,6.78,32.54,40.51,Area
08/23/2026,Area 3,36.16,22.14,25.06,10.08,9.76,31.68,34.9,Area
08/23/2026,Area 4,60.55,13,18.06,8.17,4.15,17.04,26.03,Area
08/23/2026,Sumbagut,58.61,25.31,7.52,10.06,3.09,28.22,17.4,Region
08/23/2026,Sumbagteng,64.12,20.74,6.67,9.27,2.96,23.58,15.92,Region
08/23/2026,Sumbagsel,44.46,23.95,20.74,10.81,4.87,28.66,31.22,Region
08/23/2026,Jakarta Banten,32.18,24.34,26.55,13.95,7.03,31.2,40.17,Region
08/23/2026,Eastern Jabotabek,25.9,21.75,33.92,15.73,6.89,28.44,49.14,Region
08/23/2026,Jabar,32.97,31.93,18.66,14.28,6.36,38.05,32.69,Region
08/23/2026,Jateng,28.94,19.91,26.15,12.89,15.84,35.45,38.76,Region
08/23/2026,Jatim,35.33,20.26,31.71,9.37,6.27,26.4,40.81,Region
08/23/2026,BaliNusra,52.53,30.17,10.51,5.57,3.64,33.67,16.01,Region
08/23/2026,Kalimantan,53.25,15.82,23.95,9.2,1.89,17.65,32.91,Region
08/23/2026,Sulawesi,57.6,14.02,16.82,9.15,6.9,20.77,25.72,Region
08/23/2026,Puma,94.27,0.48,5.16,1.24,0.12,0.6,6.37,Region
08/23/2026,Java,33.33,24.06,25.67,12.35,8.27,32.13,37.71,Area Group
08/23/2026,Non Java,56.98,19.03,14.98,9.29,3.94,22.84,24.1,Area Group
08/23/2026,National,43.13,21.95,21.23,11.07,6.48,28.25,32.04,Nationwide
08/23/2026,Basic,59.1,20.03,12.9,9.19,3.26,23.17,21.93,Archetype
08/23/2026,Compete,32.18,24.64,26.03,12.72,8.32,32.74,38.44,Archetype
08/23/2026,Fortress,84.45,6.68,7.01,3.42,1.09,7.73,10.37,Archetype
08/23/2026,Super Fortress,94.05,0.71,4.68,1.7,0.15,0.87,6.37,Archetype
08/23/2026,Compete AREA 2,30.53,25.98,26.28,14.6,6.78,32.54,40.51,Archetype Area
08/23/2026,Compete AREA 3,31.26,22.87,27.5,10.8,10.84,33.48,38.04,Archetype Area
08/23/2026,Basic AREA 1,54.54,24.69,10.95,10.74,3.78,28.3,21.52,Archetype Area
08/23/2026,Basic AREA 2,33.69,22.96,24.9,15.25,7.49,30.21,39.78,Archetype Area
08/23/2026,Basic AREA 3,49.51,26.37,15.07,6.66,5.02,31.24,21.6,Archetype Area
08/23/2026,Basic AREA 4,48.22,17.52,22.28,10.75,5.89,23.26,32.76,Archetype Area
08/23/2026,Fortress AREA 1,75.67,13.64,7.09,5.08,1.64,15.22,12.14,Archetype Area
08/23/2026,Fortress AREA 3,87.78,4.63,4.52,4.77,1.28,5.84,9.19,Archetype Area
08/23/2026,Fortress AREA 4,78.04,6.75,12.84,4.45,1.23,7.96,17.22,Archetype Area
08/23/2026,Super Fortress AREA 1,92.8,2.47,1.18,5.14,0.35,2.82,6.34,Archetype Area
08/23/2026,Super Fortress AREA 4,94.35,0.48,5.18,1.25,0.12,0.6,6.37,Archetype Area
